month,total.total,timeRange.start,timeRange.end
2022-05-01T00:00:00.000Z,37916,2022-05-01T00:00:00.000Z,2022-06-01T00:00:00.000Z
2022-06-01T00:00:00.000Z,35094,2022-06-01T00:00:00.000Z,2022-07-01T00:00:00.000Z
2022-07-01T00:00:00.000Z,35905,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
2022-08-01T00:00:00.000Z,35713,2022-08-01T00:00:00.000Z,2022-09-01T00:00:00.000Z
2022-09-01T00:00:00.000Z,37504,2022-09-01T00:00:00.000Z,2022-10-01T00:00:00.000Z
2022-10-01T00:00:00.000Z,38925,2022-10-01T00:00:00.000Z,2022-11-01T00:00:00.000Z
2022-11-01T00:00:00.000Z,37424,2022-11-01T00:00:00.000Z,2022-12-01T00:00:00.000Z
2022-12-01T00:00:00.000Z,36420,2022-12-01T00:00:00.000Z,2023-01-01T00:00:00.000Z
2023-01-01T00:00:00.000Z,39049,2023-01-01T00:00:00.000Z,2023-02-01T00:00:00.000Z
2023-02-01T00:00:00.000Z,36565,2023-02-01T00:00:00.000Z,2023-03-01T00:00:00.000Z
2023-03-01T00:00:00.000Z,39244,2023-03-01T00:00:00.000Z,2023-04-01T00:00:00.000Z
2023-04-01T00:00:00.000Z,38102,2023-04-01T00:00:00.000Z,2023-05-01T00:00:00.000Z
2023-05-01T00:00:00.000Z,37100,2023-05-01T00:00:00.000Z,2023-06-01T00:00:00.000Z
2023-06-01T00:00:00.000Z,34538,2023-06-01T00:00:00.000Z,2023-07-01T00:00:00.000Z
2023-07-01T00:00:00.000Z,35591,2023-07-01T00:00:00.000Z,2023-08-01T00:00:00.000Z
2023-08-01T00:00:00.000Z,36148,2023-08-01T00:00:00.000Z,2023-09-01T00:00:00.000Z
2023-09-01T00:00:00.000Z,37230,2023-09-01T00:00:00.000Z,2023-10-01T00:00:00.000Z
2023-10-01T00:00:00.000Z,38402,2023-10-01T00:00:00.000Z,2023-11-01T00:00:00.000Z
2023-11-01T00:00:00.000Z,37720,2023-11-01T00:00:00.000Z,2023-12-01T00:00:00.000Z
2023-12-01T00:00:00.000Z,36382,2023-12-01T00:00:00.000Z,2024-01-01T00:00:00.000Z
2024-01-01T00:00:00.000Z,38884,2024-01-01T00:00:00.000Z,2024-02-01T00:00:00.000Z
2024-02-01T00:00:00.000Z,37953,2024-02-01T00:00:00.000Z,2024-03-01T00:00:00.000Z
2024-03-01T00:00:00.000Z,39077,2024-03-01T00:00:00.000Z,2024-04-01T00:00:00.000Z
2024-04-01T00:00:00.000Z,38465,2024-04-01T00:00:00.000Z,2024-05-01T00:00:00.000Z
2024-05-01T00:00:00.000Z,37298,2024-05-01T00:00:00.000Z,2024-06-01T00:00:00.000Z
2024-06-01T00:00:00.000Z,35255,2024-06-01T00:00:00.000Z,2024-07-01T00:00:00.000Z
2024-07-01T00:00:00.000Z,36425,2024-07-01T00:00:00.000Z,2024-08-01T00:00:00.000Z
2024-08-01T00:00:00.000Z,35732,2024-08-01T00:00:00.000Z,2024-09-01T00:00:00.000Z
2024-09-01T00:00:00.000Z,36725,2024-09-01T00:00:00.000Z,2024-10-01T00:00:00.000Z
2024-10-01T00:00:00.000Z,38192,2024-10-01T00:00:00.000Z,2024-11-01T00:00:00.000Z
2024-11-01T00:00:00.000Z,37593,2024-11-01T00:00:00.000Z,2024-12-01T00:00:00.000Z
2024-12-01T00:00:00.000Z,37218,2024-12-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
2025-01-01T00:00:00.000Z,39227,2025-01-01T00:00:00.000Z,2025-02-01T00:00:00.000Z
2025-02-01T00:00:00.000Z,38239,2025-02-01T00:00:00.000Z,2025-03-01T00:00:00.000Z
2025-03-01T00:00:00.000Z,39923,2025-03-01T00:00:00.000Z,2025-04-01T00:00:00.000Z
2025-04-01T00:00:00.000Z,38060,2025-04-01T00:00:00.000Z,2025-05-01T00:00:00.000Z
2025-05-01T00:00:00.000Z,37857,2025-05-01T00:00:00.000Z,2025-06-01T00:00:00.000Z
2025-06-01T00:00:00.000Z,35116,2025-06-01T00:00:00.000Z,2025-07-01T00:00:00.000Z
2025-07-01T00:00:00.000Z,35814,2025-07-01T00:00:00.000Z,2025-08-01T00:00:00.000Z
2025-08-01T00:00:00.000Z,35772,2025-08-01T00:00:00.000Z,2025-09-01T00:00:00.000Z
2025-09-01T00:00:00.000Z,39116,2025-09-01T00:00:00.000Z,2025-10-01T00:00:00.000Z
2025-10-01T00:00:00.000Z,40730,2025-10-01T00:00:00.000Z,2025-11-01T00:00:00.000Z
2025-11-01T00:00:00.000Z,40358,2025-11-01T00:00:00.000Z,2025-12-01T00:00:00.000Z
2025-12-01T00:00:00.000Z,38941,2025-12-01T00:00:00.000Z,2026-01-01T00:00:00.000Z
2026-01-01T00:00:00.000Z,40265,2026-01-01T00:00:00.000Z,2026-02-01T00:00:00.000Z
2026-02-01T00:00:00.000Z,39282,2026-02-01T00:00:00.000Z,2026-03-01T00:00:00.000Z
