timestamp,views
2015-07-01,243497551
2015-07-02,241866978
2015-07-03,226919786
2015-07-04,226583272
2015-07-05,240912348
2015-07-06,269069794
2015-07-07,258154609
2015-07-08,251655648
2015-07-09,247520462
2015-07-10,243476493
2015-07-11,230702775
2015-07-12,252692016
2015-07-13,261379918
2015-07-14,260845547
2015-07-15,251635024
2015-07-16,246994967
2015-07-17,234952802
2015-07-18,227727080
2015-07-19,244964019
2015-07-20,259802781
2015-07-21,252873968
2015-07-22,249171981
2015-07-23,249719091
2015-07-24,242932359
2015-07-25,235267986
2015-07-26,248140851
2015-07-27,258529123
2015-07-28,258683054
2015-07-29,264336559
2015-07-30,246860213
2015-07-31,237552925
2015-08-01,226800870
2015-08-02,239656517
2015-08-03,228375350
2015-08-04,250010790
2015-08-05,249349340
2015-08-06,246613997
2015-08-07,246034293
2015-08-08,231022687
2015-08-09,248951046
2015-08-10,247047000
2015-08-11,253841323
2015-08-12,249387622
2015-08-13,247062254
2015-08-14,240888656
2015-08-15,230497886
2015-08-16,250034184
2015-08-17,261042938
2015-08-18,256559156
2015-08-19,252688334
2015-08-20,249434064
2015-08-21,242479338
2015-08-22,230811252
2015-08-23,252886340
2015-08-24,261039667
2015-08-25,258761786
2015-08-26,254101370
2015-08-27,245831137
2015-08-28,240464889
2015-08-29,230416295
2015-08-30,247881805
2015-08-31,264843035
2015-09-01,252926303
2015-09-02,256337644
2015-09-03,259181927
2015-09-04,246656953
2015-09-05,240140754
2015-09-06,261547228
2015-09-07,280607166
2015-09-08,292600143
2015-09-09,267391872
2015-09-10,255912725
2015-09-11,258604993
2015-09-12,247387657
2015-09-13,267025866
2015-09-14,272400818
2015-09-15,269106706
2015-09-16,247869373
2015-09-17,251305605
2015-09-18,238067221
2015-09-19,228698100
2015-09-20,253655851
2015-09-21,266806347
2015-09-22,256616975
2015-09-23,254380575
2015-09-24,248737740
2015-09-25,239108699
2015-09-26,224282227
2015-09-27,245736719
2015-09-28,264016747
2015-09-29,256642184
2015-09-30,251941919
2015-10-01,238845634
2015-10-02,234121441
2015-10-03,221478394
2015-10-04,244396567
2015-10-05,259720123
2015-10-06,262502284
2015-10-07,261144512
2015-10-08,253684153
2015-10-09,240085034
2015-10-10,228090660
2015-10-11,244687728
2015-10-12,265428342
2015-10-13,265408182
2015-10-14,262880270
2015-10-15,253972086
2015-10-16,238920598
2015-10-17,226143828
2015-10-18,249614981
2015-10-19,266948319
2015-10-20,268204292
2015-10-21,259478470
2015-10-22,258182519
2015-10-23,248363326
2015-10-24,230870391
2015-10-25,251712929
2015-10-26,264693228
2015-10-27,263104847
2015-10-28,257566202
2015-10-29,254951606
2015-10-30,242440748
2015-10-31,228390193
2015-11-01,244925316
2015-11-02,266333615
2015-11-03,257036022
2015-11-04,258720015
2015-11-05,259982859
2015-11-06,245378536
2015-11-07,230285363
2015-11-08,252451540
2015-11-09,269146272
2015-11-10,260477670
2015-11-11,253035102
2015-11-12,254436694
2015-11-13,237123478
2015-11-14,227440576
2015-11-15,252710366
2015-11-16,264104145
2015-11-17,261775991
2015-11-18,258249617
2015-11-19,254057860
2015-11-20,241774193
2015-11-21,229454848
2015-11-22,250837316
2015-11-23,262154748
2015-11-24,256203864
2015-11-25,244123520
2015-11-26,239140879
2015-11-27,231815803
2015-11-28,237243517
2015-11-29,255125293
2015-11-30,268776272
2015-12-01,259656743
2015-12-02,256846437
2015-12-03,250181767
2015-12-04,243147022
2015-12-05,226949236
2015-12-06,250874359
2015-12-07,271463314
2015-12-08,265208583
2015-12-09,260830080
2015-12-10,252273451
2015-12-11,246507757
2015-12-12,230084048
2015-12-13,253019372
2015-12-14,267244443
2015-12-15,252637187
2015-12-16,245121409
2015-12-17,239877908
2015-12-18,225118505
2015-12-19,214182461
2015-12-20,229191823
2015-12-21,242870461
2015-12-22,233938580
2015-12-23,222171594
2015-12-24,207005981
2015-12-25,202844977
2015-12-26,224566991
2015-12-27,234846351
2015-12-28,248578302
2015-12-29,248974194
2015-12-30,244020967
2015-12-31,226053041
2016-01-01,234271982
2016-01-02,258962263
2016-01-03,265276913
2016-01-04,269330004
2016-01-05,263841110
2016-01-06,262656618
2016-01-07,260283606
2016-01-08,252844185
2016-01-09,245587830
2016-01-10,267691389
2016-01-11,296901690
2016-01-12,272247505
2016-01-13,264684802
2016-01-14,265062630
2016-01-15,252608966
2016-01-16,244441245
2016-01-17,265446747
2016-01-18,276171426
2016-01-19,275603217
2016-01-20,265544825
2016-01-21,263782691
2016-01-22,258477861
2016-01-23,248002891
2016-01-24,271086304
2016-01-25,281303675
2016-01-26,271010141
2016-01-27,268653701
2016-01-28,262267936
2016-01-29,253457572
2016-01-30,244539875
2016-01-31,271974703
2016-02-01,280811736
2016-02-02,270619588
2016-02-03,268496546
2016-02-04,262282329
2016-02-05,253827747
2016-02-06,239135560
2016-02-07,262201340
2016-02-08,280618979
2016-02-09,263616192
2016-02-10,262371873
2016-02-11,254138725
2016-02-12,248027716
2016-02-13,239473862
2016-02-14,257933079
2016-02-15,273788427
2016-02-16,278932636
2016-02-17,265903269
2016-02-18,259079641
2016-02-19,252201780
2016-02-20,241983564
2016-02-21,265840183
2016-02-22,281053185
2016-02-23,267725274
2016-02-24,262386296
2016-02-25,260980282
2016-02-26,245263726
2016-02-27,234556490
2016-02-28,258673995
2016-02-29,293935437
2016-03-01,266638867
2016-03-02,263293471
2016-03-03,263178571
2016-03-04,251138775
2016-03-05,241721072
2016-03-06,260785666
2016-03-07,271285555
2016-03-08,258425104
2016-03-09,257578657
2016-03-10,250068872
2016-03-11,239428505
2016-03-12,227847654
2016-03-13,248057656
2016-03-14,261924323
2016-03-15,249843398
2016-03-16,251223493
2016-03-17,247638705
2016-03-18,231929284
2016-03-19,220542415
2016-03-20,240502350
2016-03-21,252763129
2016-03-22,240114325
2016-03-23,236637085
2016-03-24,233711775
2016-03-25,232185561
2016-03-26,227308696
2016-03-27,242242368
2016-03-28,261401980
2016-03-29,255384415
2016-03-30,247465256
2016-03-31,241007634
2016-04-01,231895897
2016-04-02,226095951
2016-04-03,246612722
2016-04-04,261353883
2016-04-05,255371954
2016-04-06,256999315
2016-04-07,250006184
2016-04-08,240780622
2016-04-09,230952517
2016-04-10,251342861
2016-04-11,262527959
2016-04-12,256188251
2016-04-13,253213753
2016-04-14,250288090
2016-04-15,237333229
2016-04-16,223588274
2016-04-17,241987790
2016-04-18,256349699
2016-04-19,252334836
2016-04-20,250852464
2016-04-21,260133337
2016-04-22,249076207
2016-04-23,232323811
2016-04-24,251566158
2016-04-25,261988295
2016-04-26,255178452
2016-04-27,251675502
2016-04-28,252253918
2016-04-29,235333155
2016-04-30,222542773
2016-05-01,241391608
2016-05-02,260890463
2016-05-03,254610194
2016-05-04,247941140
2016-05-05,242905182
2016-05-06,236336998
2016-05-07,223246032
2016-05-08,242158949
2016-05-09,260607274
2016-05-10,255842683
2016-05-11,247444574
2016-05-12,244961105
2016-05-13,234082081
2016-05-14,225479744
2016-05-15,247165065
2016-05-16,259369171
2016-05-17,254733024
2016-05-18,254614683
2016-05-19,248668568
2016-05-20,236046676
2016-05-21,234167547
2016-05-22,246007304
2016-05-23,261501272
2016-05-24,251787588
2016-05-25,244033524
2016-05-26,240865723
2016-05-27,228592262
2016-05-28,219739986
2016-05-29,235891576
2016-05-30,252463692
2016-05-31,253265642
2016-06-01,248901189
2016-06-02,241185957
2016-06-03,234048378
2016-06-04,228626696
2016-06-05,246702328
2016-06-06,254017496
2016-06-07,246797333
2016-06-08,242504016
2016-06-09,238571379
2016-06-10,232617890
2016-06-11,227269657
2016-06-12,244813008
2016-06-13,258159156
2016-06-14,254079280
2016-06-15,246888728
2016-06-16,241274155
2016-06-17,229181666
2016-06-18,221183237
2016-06-19,239549663
2016-06-20,256234564
2016-06-21,243966805
2016-06-22,242748001
2016-06-23,240622474
2016-06-24,231356506
2016-06-25,224818865
2016-06-26,242498627
2016-06-27,252711895
2016-06-28,249446880
2016-06-29,242849368
2016-06-30,240005459
2016-07-01,241804741
2016-07-02,224794485
2016-07-03,237266890
2016-07-04,249996817
2016-07-05,250445583
2016-07-06,252155601
2016-07-07,238585409
2016-07-08,225932995
2016-07-09,224300692
2016-07-10,245752393
2016-07-11,254683088
2016-07-12,243881621
2016-07-13,238997287
2016-07-14,236068499
2016-07-15,227662280
2016-07-16,217292237
2016-07-17,235660595
2016-07-18,246973419
2016-07-19,245179753
2016-07-20,253902565
2016-07-21,265557325
2016-07-22,269109396
2016-07-23,261027786
2016-07-24,281328293
2016-07-25,291335371
2016-07-26,293394875
2016-07-27,285127976
2016-07-28,280465494
2016-07-29,269934559
2016-07-30,262754852
2016-07-31,283066712
2016-08-01,292881747
2016-08-02,286258855
2016-08-03,271128871
2016-08-04,262188893
2016-08-05,259826779
2016-08-06,261281980
2016-08-07,273717513
2016-08-08,292929547
2016-08-09,284956360
2016-08-10,287278721
2016-08-11,280354188
2016-08-12,273926218
2016-08-13,265195926
2016-08-14,281323235
2016-08-15,294542405
2016-08-16,278581691
2016-08-17,245208844
2016-08-18,241404262
2016-08-19,237081349
2016-08-20,230071220
2016-08-21,258757502
2016-08-22,269855610
2016-08-23,259103984
2016-08-24,254312565
2016-08-25,249185469
2016-08-26,239779709
2016-08-27,232894562
2016-08-28,252621204
2016-08-29,272145406
2016-08-30,264555564
2016-08-31,257515340
2016-09-01,246228881
2016-09-02,240052151
2016-09-03,232693094
2016-09-04,247890219
2016-09-05,260598537
2016-09-06,260128965
2016-09-07,250861869
2016-09-08,248972700
2016-09-09,240127421
2016-09-10,239570081
2016-09-11,257068888
2016-09-12,261070789
2016-09-13,264395680
2016-09-14,256093867
2016-09-15,257501567
2016-09-16,236661946
2016-09-17,231399992
2016-09-18,255970775
2016-09-19,272319435
2016-09-20,259812357
2016-09-21,257708299
